Symbol,Date,Open,High,Low,Close,Volume,Rise,industry
IQV,2022-10-21,173.81,178.36,171.24,178.15,1409800.0,-24.57,Diagnostics & Research
IR,2022-10-21,45.47,46.83,45.14,46.79,3317600.0,-1.97,Specialty Industrial Machinery
IRM,2022-10-21,46.43,47.34,45.72,47.07,1164600.0,-16.25,REIT—Specialty
ISRG,2022-10-21,210.5,219.04,206.77,218.49,3142500.0,-25.83,Medical Instruments & Supplies
IT,2022-10-21,279.19,290.17,277.08,289.75,468500.0,-4.93,Information Technology Services
ITW,2022-10-21,189.51,196.99,188.86,195.62,3526100.0,-5.45,Specialty Industrial Machinery
IVZ,2022-10-21,14.42,14.91,14.3,14.89,6466700.0,-28.64,Asset Management
J,2022-10-21,112.74,115.44,112.18,115.02,651300.0,-22.1,Engineering & Construction
JBHT,2022-10-21,160.53,165.44,159.96,165.32,851600.0,-3.07,Integrated Freight & Logistics
JCI,2022-10-21,51.53,53.19,51.33,53.04,4820800.0,-17.97,Building Products & Equipment
JKHY,2022-10-21,185.27,187.77,184.45,187.32,321100.0,-7.54,Information Technology Services
JNJ,2022-10-21,164.71,169.37,164.43,168.71,8486900.0,-6.78,Drug Manufacturers—General
JNPR,2022-10-21,28.64,28.88,27.96,28.76,5677400.0,-19.32,Communication Equipment
JPM,2022-10-21,116.46,122.39,116.33,122.23,20589300.0,-5.55,Banks—Diversified
K,2022-10-21,71.8,72.86,71.46,72.24,1308600.0,5.33,Packaged Foods
KDP,2022-10-21,37.28,37.7,37.0,37.62,5928700.0,0.82,Beverages—Non-Alcoholic
KEY,2022-10-21,15.95,16.92,15.75,16.9,21911300.0,-18.17,Banks—Regional
KEYS,2022-10-21,161.31,169.63,160.87,168.96,1104600.0,13.13,Scientific & Technical Instruments
KHC,2022-10-21,35.13,35.49,34.89,35.21,10239000.0,-18.33,Packaged Foods
KIM,2022-10-21,19.2,19.69,19.12,19.69,5308100.0,-22.71,REIT—Retail
KLAC,2022-10-21,277.42,291.53,275.12,290.63,2067700.0,-12.91,Semiconductor Equipment & Materials
KMB,2022-10-21,112.61,114.17,111.85,113.96,1678200.0,-9.42,Household & Personal Products
KMI,2022-10-21,17.25,17.56,17.11,17.52,19629300.0,-8.74,Oil & Gas Midstream
KMX,2022-10-21,56.62,56.84,55.02,55.69,3294300.0,-38.58,Auto & Truck Dealerships
KO,2022-10-21,55.0,56.11,54.99,55.96,15028000.0,-14.25,Beverages—Non-Alcoholic
KR,2022-10-21,42.34,43.97,42.15,43.63,7102700.0,-24.3,Grocery Stores
L,2022-10-21,53.89,55.55,53.64,55.5,874300.0,-16.57,Insurance—Property & Casualty
LDOS,2022-10-21,93.52,95.71,92.57,95.39,541400.0,-12.45,Information Technology Services
LEN,2022-10-21,70.13,73.59,69.9,73.43,2751900.0,-6.16,Residential Construction
LH,2022-10-21,210.56,213.47,206.66,211.71,1943700.0,-22.94,Diagnostics & Research
LHX,2022-10-21,240.0,248.74,239.7,247.2,1711700.0,1.42,Aerospace & Defense
LIN,2022-10-21,280.46,288.73,279.54,288.32,1610500.0,-10.42,Specialty Chemicals
LKQ,2022-10-21,50.15,51.54,50.01,51.49,1166700.0,3.99,Auto Parts
LLY,2022-10-21,329.07,342.43,326.77,340.77,3272900.0,18.45,Drug Manufacturers—General
LMT,2022-10-21,443.72,454.69,440.15,454.61,1619900.0,4.77,Aerospace & Defense
LNC,2022-10-21,47.91,50.47,47.56,50.38,1465000.0,-24.7,Insurance—Life
LNT,2022-10-21,48.99,50.13,48.53,49.76,2324200.0,-21.67,Utilities—Regulated Electric
LOW,2022-10-21,178.14,182.67,176.5,182.37,3568000.0,-10.55,Home Improvement Retail
LRCX,2022-10-21,354.97,372.86,354.97,369.29,2765600.0,-20.78,Semiconductor Equipment & Materials
LUMN,2022-10-21,6.67,6.89,6.58,6.66,18451600.0,-40.05,Telecom Services
LUV,2022-10-21,32.65,33.42,32.38,33.1,5444800.0,-31.58,Airlines
LVS,2022-10-21,37.93,39.28,37.52,39.07,7302800.0,5.0,Resorts & Casinos
LW,2022-10-21,82.98,83.21,80.66,81.72,1480700.0,19.82,Packaged Foods
LYB,2022-10-21,79.4,82.39,79.24,82.16,2282800.0,-20.7,Specialty Chemicals
LYV,2022-10-21,78.72,80.27,77.79,79.53,1309200.0,-25.51,Entertainment
MA,2022-10-21,294.51,302.71,293.5,302.37,3599200.0,-16.9,Credit Services
MAA,2022-10-21,147.65,149.73,145.83,149.53,1423700.0,-29.09,REIT—Residential
MAR,2022-10-21,146.71,154.01,146.5,153.49,2339400.0,-16.35,Lodging
MAS,2022-10-21,44.67,46.49,44.57,46.39,1884200.0,-10.14,Building Products & Equipment
MCD,2022-10-21,250.21,255.36,249.5,254.55,3253600.0,0.83,Restaurants
MCHP,2022-10-21,59.25,62.03,58.84,61.85,5010000.0,-7.76,Semiconductors
MCK,2022-10-21,357.99,372.19,356.52,370.64,1032900.0,12.15,Medical Distribution
MCO,2022-10-21,236.77,242.54,233.22,242.03,990300.0,-26.3,Financial Data & Stock Exchanges
MDLZ,2022-10-21,56.58,57.43,56.38,57.35,9719900.0,-12.4,Confectioners
MDT,2022-10-21,82.25,83.53,80.99,83.26,5974000.0,-25.81,Medical Devices
MET,2022-10-21,66.3,68.18,66.02,68.06,5274400.0,-3.45,Insurance—Life
META,2022-10-21,126.31,130.12,125.44,130.01,46195500.0,-30.87,Internet Content & Information
MGM,2022-10-21,32.51,33.99,32.31,33.92,6250500.0,-19.55,Resorts & Casinos
MHK,2022-10-21,92.5,96.65,92.03,95.37,1013000.0,-25.89,"Furnishings, Fixtures & Appliances"
MKC,2022-10-21,72.58,73.92,72.07,73.84,1114600.0,-28.87,Packaged Foods
MKTX,2022-10-21,231.4,243.5,230.69,243.02,374000.0,-10.47,Capital Markets
MLM,2022-10-21,304.45,315.65,303.4,315.31,373300.0,-15.56,Building Materials
MMC,2022-10-21,153.03,155.2,150.78,154.93,2071400.0,-12.97,Insurance Brokers
MMM,2022-10-21,113.15,116.94,113.05,116.81,3342000.0,-21.46,Conglomerates
MNST,2022-10-21,86.48,87.85,85.61,87.59,3319400.0,0.82,Beverages—Non-Alcoholic
MO,2022-10-21,43.5,44.53,43.39,44.48,7465800.0,-17.99,Tobacco
MOH,2022-10-21,353.15,362.24,352.09,360.38,1068900.0,5.76,Healthcare Plans
MOS,2022-10-21,51.0,53.13,50.19,53.1,4035200.0,-22.27,Agricultural Inputs
MPC,2022-10-21,109.82,111.62,107.73,111.38,3073800.0,27.04,Oil & Gas Refining & Marketing
MPWR,2022-10-21,315.18,334.08,313.78,332.83,797900.0,-19.76,Semiconductors
MRK,2022-10-21,92.84,95.96,92.64,95.67,10293900.0,12.76,Drug Manufacturers—General
MRNA,2022-10-21,123.77,130.3,122.03,128.32,8120400.0,-11.2,Biotechnology
MRO,2022-10-21,28.5,29.16,28.32,29.15,12496400.0,12.43,Oil & Gas E&P
MS,2022-10-21,76.61,79.53,76.22,79.22,8147700.0,-9.28,Capital Markets
MSCI,2022-10-21,394.69,402.27,388.12,401.48,774000.0,-15.0,Financial Data & Stock Exchanges
MSFT,2022-10-21,234.74,243.0,234.5,242.12,26280900.0,-13.39,Software—Infrastructure
MSI,2022-10-21,221.32,227.08,219.43,226.38,728800.0,-2.12,Communication Equipment
MTB,2022-10-21,161.19,165.15,159.4,161.77,2110100.0,-7.79,Banks—Regional
MTCH,2022-10-21,41.89,43.09,40.23,43.0,5131600.0,-44.63,Internet Content & Information
MTD,2022-10-21,1149.6,1176.87,1136.29,1174.38,93000.0,-11.45,Diagnostics & Research
MU,2022-10-21,53.49,56.28,53.34,56.05,20185400.0,-20.81,Semiconductors
NCLH,2022-10-21,14.16,14.96,13.95,14.93,20315900.0,-31.64,Travel Services
