Symbol,Date,Open,High,Low,Close,Volume,Rise,industry
EA,2022-10-21,123.26,125.31,122.55,124.99,1605700.0,1.17,Electronic Gaming & Multimedia
EBAY,2022-10-21,37.41,38.45,37.08,38.41,4449300.0,2.1,Internet Retail
EXC,2022-10-21,35.74,36.99,35.45,36.72,11674800.0,3.32,Utilities—Regulated Electric
FAST,2022-10-21,45.32,46.17,45.1,46.09,4980800.0,1.63,Industrial Distribution
FISV,2022-10-21,94.55,96.89,93.93,96.74,5468100.0,1.82,Information Technology Services
FTNT,2022-10-21,51.72,53.87,50.94,53.75,5511100.0,4.19,Software—Infrastructure
GILD,2022-10-21,66.18,67.94,66.11,67.79,7814600.0,2.46,Drug Manufacturers—General
GOOG,2022-10-21,98.46,101.62,98.23,101.48,28976000.0,0.94,Internet Content & Information
GOOGL,2022-10-21,97.85,101.31,97.72,101.13,32424700.0,1.16,Internet Content & Information
HON,2022-10-21,176.99,183.31,176.52,182.81,2958800.0,2.91,Conglomerates
IDXX,2022-10-21,331.13,338.46,320.81,337.65,440800.0,1.95,Diagnostics & Research
ILMN,2022-10-21,209.46,220.79,206.78,220.01,1994900.0,5.45,Diagnostics & Research
INTC,2022-10-21,25.85,27.05,25.79,26.97,53035100.0,3.41,Semiconductors
INTU,2022-10-21,404.02,418.61,395.82,417.18,1488500.0,4.0,Software—Application
ISRG,2022-10-21,210.5,219.04,206.77,218.49,3142500.0,3.06,Medical Instruments & Supplies
JD,2022-10-21,41.34,42.2,40.61,42.15,8512500.0,-0.02,Internet Retail
KDP,2022-10-21,37.28,37.7,37.0,37.62,5928700.0,0.91,Beverages—Non-Alcoholic
KHC,2022-10-21,35.13,35.49,34.89,35.21,10239000.0,-0.37,Packaged Foods
KLAC,2022-10-21,277.42,291.53,275.12,290.63,2067700.0,4.92,Semiconductor Equipment & Materials
LCID,2022-10-21,12.46,13.42,12.28,13.31,17152300.0,5.63,Auto Manufacturers
LRCX,2022-10-21,354.97,372.86,354.97,369.29,2765600.0,3.77,Semiconductor Equipment & Materials
LULU,2022-10-21,291.46,299.13,289.01,298.63,1254900.0,1.88,Apparel Retail
MAR,2022-10-21,146.71,154.01,146.5,153.49,2339400.0,4.05,Lodging
MCHP,2022-10-21,59.25,62.03,58.84,61.85,5010000.0,4.37,Semiconductors
MDLZ,2022-10-21,56.58,57.43,56.38,57.35,9719900.0,0.77,Confectioners
MELI,2022-10-21,811.52,847.78,797.01,844.9,595500.0,2.98,Internet Retail
META,2022-10-21,126.31,130.12,125.44,130.01,46195500.0,-1.16,Internet Content & Information
MNST,2022-10-21,86.48,87.85,85.61,87.59,3319400.0,0.67,Beverages—Non-Alcoholic
MRNA,2022-10-21,123.77,130.3,122.03,128.32,8120400.0,8.4,Biotechnology
MRVL,2022-10-21,37.66,39.62,37.57,39.54,9784200.0,3.86,Semiconductors
MSFT,2022-10-21,234.74,243.0,234.5,242.12,26280900.0,2.53,Software—Infrastructure
MTCH,2022-10-21,41.89,43.09,40.23,43.0,5131600.0,0.7,Internet Content & Information
MU,2022-10-21,53.49,56.28,53.34,56.05,20185400.0,4.38,Semiconductors
NFLX,2022-10-21,268.95,290.75,265.68,289.57,24862700.0,7.98,Entertainment
NTES,2022-10-21,60.71,62.75,60.48,62.43,3790100.0,-3.49,Electronic Gaming & Multimedia
NVDA,2022-10-21,120.98,124.98,118.87,124.66,60893800.0,2.23,Semiconductors
NXPI,2022-10-21,138.71,145.59,137.51,145.25,2496400.0,4.47,Semiconductors
ODFL,2022-10-21,257.49,260.78,253.27,260.43,1210700.0,1.08,Trucking
OKTA,2022-10-21,53.66,55.08,51.78,55.01,3395900.0,1.12,Software—Infrastructure
ORLY,2022-10-21,731.03,744.74,729.59,744.07,418300.0,1.8,Specialty Retail
PANW,2022-10-21,158.18,162.67,156.29,162.03,6592200.0,2.18,Software—Infrastructure
PAYX,2022-10-21,110.88,112.54,109.69,112.16,1264000.0,0.99,Staffing & Employment Services
PCAR,2022-10-21,87.8,90.64,87.7,90.17,2092500.0,2.97,Farm & Heavy Construction Machinery
PDD,2022-10-21,55.13,59.15,54.74,58.97,13678200.0,5.51,Internet Retail
PEP,2022-10-21,171.2,173.69,170.58,173.06,5071500.0,0.93,Beverages—Non-Alcoholic
PYPL,2022-10-21,83.62,85.13,82.35,83.94,14411400.0,-0.99,Credit Services
QCOM,2022-10-21,111.75,115.99,111.02,115.74,7488100.0,3.36,Semiconductors
REGN,2022-10-21,705.89,718.18,697.48,713.91,1224100.0,1.14,Biotechnology
ROST,2022-10-21,82.4,85.34,82.14,85.07,2194000.0,3.13,Apparel Retail
SBUX,2022-10-21,87.0,88.97,86.56,88.61,9087000.0,2.1,Restaurants
SGEN,2022-10-21,126.8,129.37,124.85,128.84,1319300.0,1.69,Biotechnology
SIRI,2022-10-21,6.1,6.21,6.09,6.19,13159100.0,1.48,Entertainment
SNPS,2022-10-21,288.8,298.58,285.18,296.5,1290700.0,2.34,Software—Infrastructure
SPLK,2022-10-21,78.1,79.31,76.37,79.2,2438900.0,1.32,Software—Infrastructure
SWKS,2022-10-21,81.07,84.59,80.87,84.14,1651600.0,3.32,Semiconductors
TEAM,2022-10-21,190.13,194.8,186.28,194.1,1607600.0,0.77,Software—Application
TMUS,2022-10-21,135.03,136.68,134.88,136.46,4198600.0,0.32,Telecom Services
TSLA,2022-10-21,206.42,214.66,203.8,214.44,75529300.0,3.45,Auto Manufacturers
TXN,2022-10-21,155.41,160.03,153.94,159.72,7706200.0,3.9,Semiconductors
VRSK,2022-10-21,165.38,167.75,163.79,166.99,852800.0,0.78,Consulting Services
VRSN,2022-10-21,177.06,179.67,174.41,179.15,820200.0,0.27,Software—Infrastructure
VRTX,2022-10-21,289.69,300.14,287.96,300.0,1467100.0,3.39,Biotechnology
WBA,2022-10-21,33.4,34.54,33.21,34.3,9876000.0,2.82,Pharmaceutical Retailers
WDAY,2022-10-21,144.73,149.73,142.63,149.48,1431700.0,2.79,Software—Application
XEL,2022-10-21,59.84,61.24,59.43,60.9,3776000.0,1.96,Utilities—Regulated Electric
ZM,2022-10-21,79.64,81.1,77.6,80.98,3307300.0,1.28,Software—Application
ZS,2022-10-21,148.98,150.92,142.71,150.48,2135400.0,0.17,Software—Infrastructure
